collectDate,siteID,analyte,value,units
2014-01-15,BARC,TN,0.025,milligramsPerLiter
2014-02-11,BARC,TN,0.025,milligramsPerLiter
2014-03-11,BARC,TN,0.025,milligramsPerLiter
2014-04-15,BARC,TN,0.025,milligramsPerLiter
2014-05-13,BARC,TN,0.025,milligramsPerLiter
2014-06-03,BARC,TN,0.025,milligramsPerLiter
2016-10-12,BARC,TN,0.1638,milligramsPerLiter
2016-11-02,BARC,TN,0.1478,milligramsPerLiter
2016-12-13,BARC,TN,0.2058,milligramsPerLiter
2017-02-01,BARC,TN,0.1228,milligramsPerLiter
2017-03-09,BARC,TN,0.0276,milligramsPerLiter
2017-04-05,BARC,TN,0.1359,milligramsPerLiter
2017-05-02,BARC,TN,0.1277,milligramsPerLiter
2017-06-08,BARC,TN,0.1589,milligramsPerLiter
2017-06-08,BARC,TN,0.149,milligramsPerLiter
2017-06-08,BARC,TN,0.1372,milligramsPerLiter
2017-06-27,BARC,TN,1.97,milligramsPerLiter
2017-08-02,BARC,TN,0.161,milligramsPerLiter
2017-09-05,BARC,TN,0.1729,milligramsPerLiter
2017-09-05,BARC,TN,0.21,milligramsPerLiter
2017-09-05,BARC,TN,0.171,milligramsPerLiter
2017-10-10,BARC,TN,0.2291,milligramsPerLiter
2017-11-07,BARC,TN,0.1224,milligramsPerLiter
2017-12-05,BARC,TN,-0.1011,milligramsPerLiter
2018-01-04,BARC,TN,0.1209,milligramsPerLiter
2018-02-06,BARC,TN,0.1584,milligramsPerLiter
2018-03-05,BARC,TN,0.1666,milligramsPerLiter
2018-04-02,BARC,TN,1.086,milligramsPerLiter
2018-04-30,BARC,TN,0.188,milligramsPerLiter
2018-06-05,BARC,TN,0.1736,milligramsPerLiter
2018-06-05,BARC,TN,0.1587,milligramsPerLiter
2018-06-05,BARC,TN,0.1767,milligramsPerLiter
2018-07-10,BARC,TN,0.2585,milligramsPerLiter
2018-07-31,BARC,TN,0.2139,milligramsPerLiter
2018-07-31,BARC,TN,0.1945,milligramsPerLiter
2018-07-31,BARC,TN,0.2458,milligramsPerLiter
2018-09-05,BARC,TN,0.1945,milligramsPerLiter
2018-09-05,BARC,TN,0.1995,milligramsPerLiter
2018-09-05,BARC,TN,0.1927,milligramsPerLiter
2018-10-01,BARC,TN,0.1269,milligramsPerLiter
2018-11-05,BARC,TN,0.2584,milligramsPerLiter
2018-12-03,BARC,TN,0.234,milligramsPerLiter
2019-01-07,BARC,TN,0.262,milligramsPerLiter
2019-02-05,BARC,TN,0.2446,milligramsPerLiter
2019-03-05,BARC,TN,0.2624,milligramsPerLiter
2019-04-11,BARC,TN,0.2685,milligramsPerLiter
2019-05-08,BARC,TN,0.2416,milligramsPerLiter
2019-05-08,BARC,TN,0.2575,milligramsPerLiter
2019-06-11,BARC,TN,0.2807,milligramsPerLiter
2019-06-11,BARC,TN,0.2796,milligramsPerLiter
2019-06-11,BARC,TN,0.2787,milligramsPerLiter
2019-07-08,BARC,TN,0.2519,milligramsPerLiter
2019-08-13,BARC,TN,0.2104,milligramsPerLiter
2019-09-10,BARC,TN,0.2789,milligramsPerLiter
2019-09-10,BARC,TN,0.2619,milligramsPerLiter
2019-09-10,BARC,TN,0.2448,milligramsPerLiter
2019-10-01,BARC,TN,0.2573,milligramsPerLiter
