Date,V1
2019-01-01,NA
2019-01-02,NA
2019-01-03,NA
2019-01-04,NA
2019-01-05,NA
2019-01-06,NA
2019-01-07,NA
2019-01-08,0.566666666666667
2019-01-09,0.380434782608696
2019-01-10,0.474468085106383
2019-01-11,0.507608695652174
2019-01-12,0.517708333333333
2019-01-13,0.541489361702128
2019-01-14,0.55531914893617
2019-01-15,0.591397849462366
2019-01-16,0.645263157894737
2019-01-17,0.681914893617021
2019-01-18,0.690526315789474
2019-01-19,0.689473684210526
2019-01-20,0.721276595744681
2019-01-21,0.791489361702128
2019-01-22,0.804301075268817
2019-01-23,0.805376344086022
2019-01-24,0.795833333333333
2019-01-25,0.804210526315789
2019-01-26,0.85
2019-01-27,0.897826086956522
2019-01-28,0.951111111111111
2019-01-29,0.968085106382979
2019-01-30,0.99375
2019-01-31,1.04431818181818
2019-02-01,1.1
2019-02-02,1.09473684210526
2019-02-03,1.19166666666667
2019-02-04,1.25416666666667
2019-02-05,1.19583333333333
2019-02-06,1.16
2019-02-07,1.08191489361702
2019-02-08,0.96
2019-02-09,0.91505376344086
2019-02-10,0.931578947368421
2019-02-11,0.917721518987342
2019-02-12,1.0855421686747
2019-02-13,2.49767441860465
2019-02-14,2.52446808510638
2019-02-15,2.52
2019-02-16,2.51894736842105
2019-02-17,2.48210526315789
2019-02-18,2.42526315789474
2019-02-19,2.41770833333333
2019-02-20,2.47230769230769
2019-02-21,1.88823529411765
2019-02-22,1.87234042553191
2019-02-23,1.84787234042553
2019-02-24,1.82747252747253
2019-02-25,1.93010752688172
2019-02-26,2
2019-02-27,2.01489361702128
2019-02-28,2.03617021276596
2019-03-01,2.03052631578947
2019-03-02,2.06458333333333
2019-03-03,2.15
2019-03-04,2.12105263157895
2019-03-05,2.18404255319149
2019-03-06,2.35104166666667
2019-03-07,2.42608695652174
2019-03-08,2.45157894736842
2019-03-09,2.42105263157895
2019-03-10,2.37272727272727
2019-03-11,2.30281690140845
2019-03-12,2.28604651162791
2019-03-13,2.28510638297872
2019-03-14,2.27083333333333
2019-03-15,2.26666666666667
2019-03-16,2.34166666666667
2019-03-17,2.4
2019-03-18,2.41739130434783
2019-03-19,2.42765957446808
2019-03-20,2.43645833333333
2019-03-21,2.45591397849462
2019-03-22,2.44148936170213
2019-03-23,2.41473684210526
2019-03-24,2.434375
2019-03-25,2.40416666666667
2019-03-26,2.38842105263158
2019-03-27,2.396875
2019-03-28,2.37333333333333
2019-03-29,2.33333333333333
2019-03-30,2.33855421686747
2019-03-31,NA
2019-04-01,2.396
2019-04-02,2.33333333333333
2019-04-03,2.31808510638298
2019-04-04,2.3063829787234
2019-04-05,2.31170212765957
2019-04-06,2.3043956043956
2019-04-07,2.25
2019-04-08,2.12361111111111
2019-04-09,1.13404255319149
2019-04-10,1.10106382978723
2019-04-11,1.1054347826087
2019-04-12,1.090625
2019-04-13,1.07311827956989
2019-04-14,1.084375
2019-04-15,1.10208333333333
2019-04-16,1.09893617021277
2019-04-17,1.10595238095238
2019-04-18,1.09782608695652
2019-04-19,1.12117647058824
2019-04-20,1.11382978723404
2019-04-21,1.09791666666667
2019-04-22,1.08854166666667
2019-04-23,1.076
